condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error
movement-execution-on,,10,0c4b64f66b58d630,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,148,3,0.930526,,0.363636,14.882931,9,0.09,True,True,32872.272727,0.0,-2.7e-09,,0,1,0.0,0.0,,,,2000,11,148,149,28,2,19,2,31,9557,13,10,0,10,0.0,176,324,2.2e-09
movement-execution-off,,11,8b44d7664889c9b5,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,158,0,0.930363,,0.333333,10.01448,13,0.13,True,False,30284.090909,0.0,2.3e-09,,0,0,0.0,0.0,,,,2000,18,158,152,31,2,9,1,23,10135,6,17,0,17,0.0,288,212,3.8e-09
movement-execution-off,,12,ebcaf64e8fbd8343,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,126,1,0.930082,,2.833333,5.866795,13,0.13,True,False,31870.454545,0.0,-1.7e-09,,0,0,0.0,0.0,,,,2000,24,126,114,28,4,13,3,16,8691,6,23,0,23,0.0,384,116,2.9e-09
movement-execution-off,,13,ee81dada8d6ba095,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,60,1,0.996028,,0.0,14.205125,9,0.09,True,False,36028.604545,0.0,-9e-10,,0,0,0.0,0.0,,,,2000,10,60,62,24,1,6,1,7,4156,5,10,0,10,0.0,160,340,4e-10
movement-execution-off,,14,3cf1ed25dd614614,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,137,0,0.959164,,5.225806,5.05798,13,0.13,True,False,32805.2,0.0,-2.5e-09,,0,0,0.0,0.0,,,,2000,31,137,118,31,3,13,3,22,8798,10,24,19,5,0.0,496,4,2.2e-09
movement-execution-off,,15,1d7ffdbc56cee796,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,38,3,0.914733,,0.0,13.921531,7,0.07,True,False,37415.131818,0.0,-0.0,,0,0,0.0,0.0,,,,2000,7,38,43,24,1,6,1,4,2647,5,7,0,7,0.0,112,388,-6e-10
movement-execution-off,,16,69e7a7fd404a52f2,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,221,0,0.943938,,2.387097,5.386505,14,0.14,True,False,27240.790909,0.0,4.6e-09,,0,0,0.0,0.0,,,,2000,31,221,202,31,1,13,1,16,14550,11,31,31,0,0.0,496,4,6e-10
movement-execution-off,,17,9a58f0bee652f8ed,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,171,3,0.956669,,0.105263,9.662433,16,0.16,True,False,29659.7,0.0,4.6e-09,,0,0,0.0,0.0,,,,2000,19,171,164,31,3,15,3,25,11803,11,19,0,19,0.0,304,196,2.2e-09
movement-execution-off,,18,60b62aed82d3c82b,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,152,0,0.925998,,1.157895,5.483731,11,0.11,True,False,31020.154545,0.0,1.6e-09,,0,0,0.0,0.0,,,,2000,19,152,145,31,1,15,1,15,10870,13,19,0,19,0.0,304,196,3.7e-09
movement-execution-off,,19,f13df759ecf723bc,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,88,3,0.951565,,0.142857,9.539024,12,0.12,True,False,32928.409091,0.0,-3.1e-09,,0,0,0.0,0.0,,,,2000,14,88,86,27,2,6,2,6,5976,4,13,0,13,0.0,224,276,2.9e-09
