active_genotypes_max,active_genotypes_mean,active_genotypes_min,active_population_max,active_population_mean,active_population_min,births_max,births_mean,births_min,blocked_divisions_max,blocked_divisions_mean,blocked_divisions_min,condition,deaths_max,deaths_mean,deaths_min,distinct_genome_lengths_max,distinct_genome_lengths_mean,distinct_genome_lengths_min,energy_pool_max,energy_pool_mean,energy_pool_min,extinction_count,extinction_fraction,faults_max,faults_mean,faults_min,free_memory_max,free_memory_mean,free_memory_min,genome_length_maximum_max,genome_length_maximum_mean,genome_length_maximum_min,genome_length_mean_max,genome_length_mean_mean,genome_length_mean_min,genome_length_median_max,genome_length_median_mean,genome_length_median_min,genome_length_minimum_max,genome_length_minimum_mean,genome_length_minimum_min,genome_length_variance_max,genome_length_variance_mean,genome_length_variance_min,genome_memory_used_max,genome_memory_used_mean,genome_memory_used_min,historical_genotypes_max,historical_genotypes_mean,historical_genotypes_min,instruction_deletion_operations_max,instruction_deletion_operations_mean,instruction_deletion_operations_min,instruction_duplication_operations_max,instruction_duplication_operations_mean,instruction_duplication_operations_min,instructions_executed_max,instructions_executed_mean,instructions_executed_min,max_generation_max,max_generation_mean,max_generation_min,max_population_max,max_population_mean,max_population_min,memory_used_max,memory_used_mean,memory_used_min,replication_copy_operations_max,replication_copy_operations_mean,replication_copy_operations_min,run_count,structural_duplication_probability_max,structural_duplication_probability_mean,structural_duplication_probability_min,structural_event_rate_max,structural_event_rate_mean,structural_event_rate_min,structural_length_delta_total_max,structural_length_delta_total_mean,structural_length_delta_total_min,structural_mutation_committed_operations_max,structural_mutation_committed_operations_mean,structural_mutation_committed_operations_min,structural_mutation_operations_max,structural_mutation_operations_mean,structural_mutation_operations_min,structural_mutation_rejected_operations_max,structural_mutation_rejected_operations_mean,structural_mutation_rejected_operations_min,structural_rng_seed_max,structural_rng_seed_mean,structural_rng_seed_min,template_jump_operations_max,template_jump_operations_mean,template_jump_operations_min,variable_length_active_population_max,variable_length_active_population_mean,variable_length_active_population_min,variable_length_births_max,variable_length_births_mean,variable_length_births_min,variable_length_reproducing_offspring_max,variable_length_reproducing_offspring_mean,variable_length_reproducing_offspring_min,waiting_for_energy_max,waiting_for_energy_mean,waiting_for_energy_min,waiting_for_memory_max,waiting_for_memory_mean,waiting_for_memory_min
5.0,2.125,1.0,54.0,54.0,54.0,49.0,46.875,45.0,54.0,53.625,52.0,structural-rate-0.01,7.0,4.875,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,6.0,4.375,3.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,756.0,756.0,756.0,10.0,7.0,4.0,2.0,0.625,0.0,2.0,0.75,0.0,7358.0,6423.25,5757.0,3.0,3.0,3.0,54.0,54.0,54.0,1188.0,1188.0,1188.0,1488.0,1432.5,1389.0,8,0.5,0.5,0.5,0.01,0.01,0.01,1.0,0.125,-1.0,3.0,1.375,0.0,3.0,1.375,0.0,0.0,0.0,0.0,1.530588412938908e+19,6.972908664032453e+18,6.568174225371173e+17,1553.0,1445.25,1387.0,0.0,0.0,0.0,3.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,53.625,52.0
5.0,2.625,1.0,54.0,54.0,54.0,49.0,46.875,45.0,54.0,53.625,52.0,structural-rate-0.025,7.0,4.875,3.0,3.0,1.5,1.0,0.0,0.0,0.0,0,0.0,6.0,4.375,3.0,14.0,12.125,11.0,15.0,14.25,14.0,14.018518518518519,13.997685185185185,13.962962962962964,14.0,14.0,14.0,14.0,13.75,13.0,0.07407407407407407,0.015989368998628257,0.0,757.0,755.875,754.0,10.0,7.5,5.0,3.0,1.75,0.0,3.0,1.5,0.0,7184.0,6410.5,5757.0,3.0,3.0,3.0,54.0,54.0,54.0,1189.0,1187.875,1186.0,1460.0,1428.875,1386.0,8,0.5,0.5,0.5,0.025,0.025,0.025,1.0,-0.25,-2.0,6.0,3.25,0.0,6.0,3.25,0.0,0.0,0.0,0.0,1.530588412938908e+19,6.972908664032453e+18,6.568174225371173e+17,1553.0,1441.625,1384.0,4.0,0.875,0.0,6.0,2.125,0.0,2.0,0.375,0.0,0.0,0.0,0.0,54.0,53.625,52.0
7.0,3.125,1.0,54.0,54.0,54.0,55.0,48.75,45.0,54.0,53.75,53.0,structural-rate-0.05,13.0,6.75,3.0,3.0,1.75,1.0,0.0,0.0,0.0,0,0.0,8.0,5.375,3.0,19.0,12.625,10.0,15.0,14.5,14.0,14.037037037037036,13.988425925925926,13.87037037037037,14.0,14.0,14.0,14.0,13.75,13.0,0.1498628257887517,0.03219307270233196,0.0,758.0,755.375,749.0,19.0,9.625,5.0,7.0,3.375,2.0,4.0,2.875,1.0,7985.0,6796.625,5757.0,4.0,3.125,3.0,55.0,54.125,54.0,1190.0,1187.375,1181.0,1546.0,1463.0,1386.0,8,0.5,0.5,0.5,0.05,0.05,0.05,2.0,-0.5,-3.0,11.0,6.25,3.0,11.0,6.25,3.0,0.0,0.0,0.0,1.530588412938908e+19,6.972908664032453e+18,6.568174225371173e+17,1624.0,1494.75,1384.0,9.0,1.875,0.0,16.0,4.5,1.0,8.0,1.25,0.0,0.0,0.0,0.0,54.0,53.75,53.0
6.0,3.5,1.0,54.0,54.0,54.0,55.0,51.125,46.0,54.0,53.625,52.0,structural-rate-0.10,13.0,9.125,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0,0.0,13.0,7.625,4.0,18.0,12.0,10.0,15.0,14.75,14.0,14.037037037037036,14.0,13.88888888888889,14.0,14.0,14.0,14.0,13.75,13.0,0.09876543209876543,0.03497942386831276,0.0,758.0,756.0,750.0,15.0,11.625,7.0,13.0,5.75,4.0,9.0,4.625,3.0,9126.0,7345.875,5886.0,3.0,3.0,3.0,54.0,54.0,54.0,1190.0,1188.0,1182.0,1609.0,1512.25,1414.0,8,0.5,0.5,0.5,0.1,0.1,0.1,4.0,-1.125,-9.0,17.0,10.375,7.0,17.0,10.375,7.0,0.0,0.0,0.0,1.530588412938908e+19,6.972908664032453e+18,6.568174225371173e+17,1922.0,1581.375,1411.0,6.0,2.0,0.0,15.0,6.5,2.0,3.0,0.75,0.0,0.0,0.0,0.0,54.0,53.625,52.0
