active_genotypes_max,active_genotypes_mean,active_genotypes_min,active_population_max,active_population_mean,active_population_min,births_max,births_mean,births_min,blocked_divisions_max,blocked_divisions_mean,blocked_divisions_min,condition,deaths_max,deaths_mean,deaths_min,energy_pool_max,energy_pool_mean,energy_pool_min,extinction_count,extinction_fraction,faults_max,faults_mean,faults_min,free_memory_max,free_memory_mean,free_memory_min,historical_genotypes_max,historical_genotypes_mean,historical_genotypes_min,instructions_executed_max,instructions_executed_mean,instructions_executed_min,local_resource_maximum_max,local_resource_maximum_mean,local_resource_maximum_min,local_resource_total_max,local_resource_total_mean,local_resource_total_min,max_generation_max,max_generation_mean,max_generation_min,max_population_max,max_population_mean,max_population_min,mean_local_neighbors_max,mean_local_neighbors_mean,mean_local_neighbors_min,mean_nearest_neighbor_distance_max,mean_nearest_neighbor_distance_mean,mean_nearest_neighbor_distance_min,memory_used_max,memory_used_mean,memory_used_min,movement_distance_max,movement_distance_mean,movement_distance_min,movement_nonzero_operations_max,movement_nonzero_operations_mean,movement_nonzero_operations_min,movement_operations_max,movement_operations_mean,movement_operations_min,movement_step_mutation_rate_max,movement_step_mutation_rate_mean,movement_step_mutation_rate_min,movement_uncommitted_distance_max,movement_uncommitted_distance_mean,movement_uncommitted_distance_min,movement_uncommitted_execution_energy_batches_max,movement_uncommitted_execution_energy_batches_mean,movement_uncommitted_execution_energy_batches_min,movement_uncommitted_movement_energy_batches_max,movement_uncommitted_movement_energy_batches_mean,movement_uncommitted_movement_energy_batches_min,movement_uncommitted_nonzero_operations_max,movement_uncommitted_nonzero_operations_mean,movement_uncommitted_nonzero_operations_min,movement_uncommitted_operations_max,movement_uncommitted_operations_mean,movement_uncommitted_operations_min,movement_zero_step_operations_max,movement_zero_step_operations_mean,movement_zero_step_operations_min,resource_allocation_cv_max,resource_allocation_cv_mean,resource_allocation_cv_min,resource_heterogeneity_cv_max,resource_heterogeneity_cv_mean,resource_heterogeneity_cv_min,run_count,waiting_for_energy_max,waiting_for_energy_mean,waiting_for_energy_min,waiting_for_memory_max,waiting_for_memory_mean,waiting_for_memory_min
3.0,1.625,1.0,31.0,19.5,11.0,165.0,109.0,64.0,31.0,18.5,10.0,sensing-execution-off-movement-on,146.0,101.5,48.0,0.0,0.0,0.0,0,0.0,15.0,6.625,2.0,324.0,188.0,4.0,17.0,9.375,4.0,11936.0,7747.125,4369.0,1863.636364,1863.636364,1863.636364,35379.681818,32649.434090875,26436.022727,28.0,15.0,6.0,31.0,29.375,24.0,9.032258,2.6222385,0.181818,13.182765,8.048125375,4.695424,496.0,312.0,176.0,17.0,4.375,0.0,17.0,4.375,0.0,17.0,4.625,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.668043,0.668043,0.668043,0.919105,0.80809775,0.690483,8,24.0,11.25,0.0,31.0,7.25,0.0
3.0,1.5,1.0,31.0,18.0,11.0,194.0,113.125,64.0,27.0,17.0,10.0,sensing-execution-on-movement-on,186.0,107.125,48.0,0.0,0.0,0.0,0,0.0,15.0,6.625,2.0,324.0,212.0,4.0,18.0,9.625,4.0,13534.0,7988.25,4369.0,1863.636364,1863.636364,1863.636364,35379.681818,32865.526136375,28161.959091,28.0,16.125,6.0,31.0,29.375,24.0,9.032258,2.14168825,0.181818,13.182765,8.4794525,4.695424,496.0,288.0,176.0,16.0,4.25,0.0,16.0,4.25,0.0,16.0,4.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.668043,0.668043,0.668043,0.918949,0.818883875,0.758962,8,24.0,13.625,0.0,27.0,3.375,0.0
