active_genotypes_max,active_genotypes_mean,active_genotypes_min,active_population_max,active_population_mean,active_population_min,births_max,births_mean,births_min,blocked_divisions_max,blocked_divisions_mean,blocked_divisions_min,condition,deaths_max,deaths_mean,deaths_min,distinct_genome_lengths_max,distinct_genome_lengths_mean,distinct_genome_lengths_min,energy_pool_max,energy_pool_mean,energy_pool_min,extinction_count,extinction_fraction,faults_max,faults_mean,faults_min,free_memory_max,free_memory_mean,free_memory_min,genome_length_maximum_max,genome_length_maximum_mean,genome_length_maximum_min,genome_length_mean_max,genome_length_mean_mean,genome_length_mean_min,genome_length_median_max,genome_length_median_mean,genome_length_median_min,genome_length_minimum_max,genome_length_minimum_mean,genome_length_minimum_min,genome_length_variance_max,genome_length_variance_mean,genome_length_variance_min,genome_memory_used_max,genome_memory_used_mean,genome_memory_used_min,historical_genotypes_max,historical_genotypes_mean,historical_genotypes_min,instruction_deletion_operations_max,instruction_deletion_operations_mean,instruction_deletion_operations_min,instruction_duplication_operations_max,instruction_duplication_operations_mean,instruction_duplication_operations_min,instructions_executed_max,instructions_executed_mean,instructions_executed_min,max_generation_max,max_generation_mean,max_generation_min,max_population_max,max_population_mean,max_population_min,memory_used_max,memory_used_mean,memory_used_min,replication_copy_operations_max,replication_copy_operations_mean,replication_copy_operations_min,run_count,structural_duplication_probability_max,structural_duplication_probability_mean,structural_duplication_probability_min,structural_event_rate_max,structural_event_rate_mean,structural_event_rate_min,structural_length_delta_total_max,structural_length_delta_total_mean,structural_length_delta_total_min,structural_mutation_committed_operations_max,structural_mutation_committed_operations_mean,structural_mutation_committed_operations_min,structural_mutation_operations_max,structural_mutation_operations_mean,structural_mutation_operations_min,structural_mutation_rejected_operations_max,structural_mutation_rejected_operations_mean,structural_mutation_rejected_operations_min,structural_rng_seed_max,structural_rng_seed_mean,structural_rng_seed_min,template_jump_operations_max,template_jump_operations_mean,template_jump_operations_min,variable_length_active_population_max,variable_length_active_population_mean,variable_length_active_population_min,variable_length_births_max,variable_length_births_mean,variable_length_births_min,variable_length_reproducing_offspring_max,variable_length_reproducing_offspring_mean,variable_length_reproducing_offspring_min,waiting_for_energy_max,waiting_for_energy_mean,waiting_for_energy_min,waiting_for_memory_max,waiting_for_memory_mean,waiting_for_memory_min
4.0,2.375,1.0,45.0,45.0,45.0,50.0,44.625,42.0,45.0,44.625,44.0,structural-rate-0.00,11.0,5.625,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,10.0,4.625,2.0,10.0,10.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,630.0,630.0,630.0,14.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12263.0,7885.25,5062.0,4.0,3.25,3.0,45.0,45.0,45.0,990.0,990.0,990.0,1377.0,1285.625,1221.0,8,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.530588412938908e+19,6.972908664032453e+18,6.568174225371173e+17,4500.0,1865.75,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,44.625,44.0
4.0,2.375,1.0,45.0,45.0,45.0,50.0,44.875,42.0,45.0,44.75,44.0,structural-rate-0.01,11.0,5.875,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,10.0,5.125,2.0,10.0,10.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,630.0,630.0,630.0,14.0,8.25,4.0,2.0,0.625,0.0,1.0,0.625,0.0,12263.0,7620.375,5062.0,4.0,3.5,3.0,45.0,45.0,45.0,990.0,990.0,990.0,1378.0,1287.875,1221.0,8,0.5,0.5,0.5,0.01,0.01,0.01,1.0,0.0,-1.0,3.0,1.25,0.0,3.0,1.25,0.0,0.0,0.0,0.0,1.530588412938908e+19,6.972908664032453e+18,6.568174225371173e+17,4500.0,1862.75,1218.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,44.75,44.0
6.0,3.25,1.0,45.0,45.0,45.0,50.0,46.75,44.0,45.0,44.5,43.0,structural-rate-0.05,11.0,7.75,5.0,3.0,1.75,1.0,0.0,0.0,0.0,0,0.0,11.0,6.625,4.0,15.0,10.875,9.0,15.0,14.375,14.0,14.022222222222222,13.980555555555556,13.88888888888889,14.0,14.0,14.0,14.0,13.625,13.0,0.18765432098765433,0.03938271604938272,0.0,631.0,629.125,625.0,16.0,10.875,7.0,6.0,3.25,2.0,4.0,2.75,1.0,12263.0,8409.625,5716.0,4.0,3.5,3.0,45.0,45.0,45.0,991.0,989.125,985.0,1380.0,1322.375,1267.0,8,0.5,0.5,0.5,0.05,0.05,0.05,2.0,-0.5,-2.0,10.0,6.0,3.0,10.0,6.0,3.0,0.0,0.0,0.0,1.530588412938908e+19,6.972908664032453e+18,6.568174225371173e+17,4500.0,2017.75,1251.0,9.0,1.875,0.0,11.0,4.25,0.0,6.0,1.25,0.0,0.0,0.0,0.0,45.0,44.5,43.0
5.0,3.375,2.0,45.0,45.0,45.0,51.0,47.125,44.0,45.0,44.5,43.0,structural-rate-0.10,12.0,8.125,5.0,3.0,1.875,1.0,0.0,0.0,0.0,0,0.0,12.0,7.375,4.0,15.0,10.625,8.0,15.0,14.375,14.0,14.044444444444444,13.98611111111111,13.88888888888889,14.0,14.0,14.0,14.0,13.5,13.0,0.09876543209876543,0.03950617283950617,0.0,632.0,629.375,625.0,16.0,11.25,7.0,13.0,5.25,4.0,8.0,4.0,2.0,9679.0,7656.125,5507.0,4.0,3.5,3.0,45.0,45.0,45.0,992.0,989.375,985.0,1394.0,1318.125,1279.0,8,0.5,0.5,0.5,0.1,0.1,0.1,4.0,-1.25,-10.0,16.0,9.25,6.0,16.0,9.25,6.0,0.0,0.0,0.0,1.530588412938908e+19,6.972908664032453e+18,6.568174225371173e+17,2021.0,1554.75,1283.0,5.0,1.875,0.0,10.0,5.375,2.0,3.0,0.875,0.0,0.0,0.0,0.0,45.0,44.5,43.0
9.0,6.25,3.0,45.0,45.0,45.0,57.0,50.0,43.0,45.0,44.5,44.0,structural-rate-0.20,18.0,11.0,4.0,4.0,2.875,2.0,0.0,0.0,0.0,0,0.0,16.0,9.75,4.0,14.0,8.75,2.0,16.0,14.875,14.0,14.177777777777777,14.027777777777779,13.911111111111111,14.0,14.0,14.0,13.0,13.0,13.0,0.32395061728395064,0.14987654320987653,0.021728395061728394,638.0,631.25,626.0,23.0,17.0,13.0,18.0,11.0,7.0,13.0,8.0,2.0,15440.0,9065.75,5068.0,4.0,3.5,3.0,45.0,45.0,45.0,998.0,991.25,986.0,1506.0,1378.0,1248.0,8,0.5,0.5,0.5,0.2,0.2,0.2,3.0,-3.0,-10.0,26.0,19.0,9.0,26.0,19.0,9.0,0.0,0.0,0.0,1.530588412938908e+19,6.972908664032453e+18,6.568174225371173e+17,3221.0,1921.125,1190.0,12.0,6.125,1.0,22.0,13.0,6.0,6.0,3.25,0.0,0.0,0.0,0.0,45.0,44.5,44.0
